id,game_id,points,stillborn,survived,declared_equivalent,points_until_equivalent,llm_or_human,opponent_llm_or_human,seconds_since_gamestart,cut,mutated_lines,number_mutated_lines,number_of_messages,author_nickname,author_age,author_degree,author_semester,author_java_experience,author_junit_experience,author_correct_question,opponent_nickname,opponent_age,opponent_degree,opponent_semester,opponent_java_experience,opponent_junit_experience,opponent_correct_question,experiment_round,author_opinion_judged_programming_skill,author_opinion_judged_original,author_opinion_challenged,author_opinion_fun,author_opinion_human_or_ai,opponent_opinion_judged_programming_skill,opponent_opinion_judged_original,opponent_opinion_challenged,opponent_opinion_fun,opponent_opinion_human_or_ai,human_tests_survived,human_tests_killed_by,llm_tests_survived,llm_tests_killed_by,existing_tests_survived,existing_tests_killed_by,future_tests_survived,future_tests_killed_by
u317,325,4,NO,YES,NO,,LLM,Human,26,ByteVector,"185,191,193,200,208,210",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,33,2,242,467,0,0,3,0
u333,325,4,NO,YES,NO,,LLM,Human,55,ByteVector,"185,191,193,199,200,208,210",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,33,2,242,467,0,0,3,0
u353,325,4,NO,YES,NO,,LLM,Human,98,ByteVector,"185,191,193,208,210",5,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,34,1,698,11,0,0,3,0
u364,325,0,YES,NO,NO,,LLM,Human,126,ByteVector,"45,46,47,48",4,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,22,16,196,182,0,1,3,0
u378,325,5,NO,YES,NO,,LLM,Human,161,ByteVector,"182,185,191,193,208,210",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,38,0,706,3,0,0,4,0
u388,325,4,NO,YES,NO,,LLM,Human,188,ByteVector,"185,191,193,208,209,210",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,35,0,645,64,0,0,3,0
u398,325,1,NO,NO,NO,,LLM,Human,218,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,7,300,409,0,0,2,1
u411,325,2,NO,NO,NO,,LLM,Human,249,ByteVector,"181,182,185,191,193,199,200,208,210",9,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,10,123,586,0,0,2,2
u422,325,2,NO,NO,NO,,LLM,Human,279,ByteVector,"182,185,191,193,200,208,210",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,10,123,586,0,0,2,2
u435,325,0,YES,NO,NO,,LLM,Human,306,ByteVector,"46,48",2,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,27,11,76,302,2,1,0,1
u445,325,1,NO,NO,NO,,LLM,Human,339,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,7,300,409,0,0,2,1
u458,325,2,NO,NO,NO,,LLM,Human,383,ByteVector,"181,182,185,191,193,199,208,210",8,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,30,8,590,119,0,0,2,2
u470,325,4,NO,YES,NO,,LLM,Human,414,ByteVector,"185,191,193,199,208,210",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,32,3,242,467,0,0,3,0
u479,325,5,NO,YES,NO,,LLM,Human,445,ByteVector,"185,191,193,208,210,223",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,29,9,315,394,0,0,4,0
u491,325,2,NO,NO,NO,,LLM,Human,489,ByteVector,"182,185,191,193,208,210",6,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,30,8,590,119,0,0,2,2
u501,325,0,YES,NO,NO,,LLM,Human,520,ByteVector,"185,191,193,208,210,222",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,29,9,398,311,0,1,3,0
u511,325,0,YES,NO,NO,,LLM,Human,553,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,7,300,409,0,1,2,0
u519,325,0,YES,NO,NO,,LLM,Human,580,ByteVector,"181,182,185,186,191,193,199,200,208,209,210",11,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,26,12,80,629,0,1,1,2
