"Metric","Estimate","Std. Error","p-value"
"Unevenness of mutated methods",0.0127,0.0254,"0.618 "
"Mutants per game",-0.0637,0.0619,"0.307 "
"Equivalence rate",0.1063,0.1272,"0.406 "
"Stillborn rate",0.1806,0.1281,"0.164 "
"Student had fun",0.8571,0.2471,"0.000933 ***"
"Student felt challenged",1.6615,0.2135,"7.12e-11 ***"
"Minimum set size",-1.2748,0.7966,"0.114 "
"Total evasion rate",0.0757,0.0436,"0.0974 ."
"Evasion rate against human tests",0.0223,0.0482,"0.649 "
"Evasion rate against LLM tests",0.0823,0.044,"0.0765 ."
