Experiment_type,Experiment_name,Experiment_tag,Experiment_description,Int_value
LLM-vs-LLM,test,0,CharRange,111
LLM-vs-LLM,study,1,CharRange,127
LLM-vs-LLM,study,0,CharRange,125
LLM-vs-LLM,study,0,ByteVector,126
LLM-vs-LLM,study,1,ByteVector,128
LLM-vs-LLM,study,2,CharRange,129
LLM-vs-LLM,study,2,ByteVector,130
LLM-vs-LLM,study,3,CharRange,131
LLM-vs-LLM,study,4,CharRange,133
LLM-vs-LLM,study,5,CharRange,135
LLM-vs-LLM,study,4,ByteVector,134
LLM-vs-LLM,study,5,ByteVector,136
LLM-vs-LLM,study,6,CharRange,137
LLM-vs-LLM,study,7,CharRange,167
LLM-vs-LLM,study,3,ByteVector,165
LLM-vs-LLM,unexpected_duplicate,8,CharRange,168
LLM-vs-LLM,study,7,ByteVector,169
LLM-vs-LLM,study,8,CharRange,172
LLM-vs-LLM,study,9,CharRange,173
LLM-vs-LLM,study,10,CharRange,176
LLM-vs-LLM,study,8,ByteVector,180
LLM-vs-LLM,study,9,ByteVector,178
LLM-vs-LLM,study,10,ByteVector,181
LLM-vs-LLM,study,11,CharRange,182
LLM-vs-LLM,study,12,CharRange,184
LLM-vs-LLM,study,12,ByteVector,185
LLM-vs-LLM,study,13,CharRange,186
LLM-vs-LLM,study,13,ByteVector,187
LLM-vs-LLM,study,14,CharRange,188
LLM-vs-LLM,study,14,ByteVector,189
LLM-vs-LLM,study,15,CharRange,190
LLM-vs-LLM,study,16,CharRange,192
LLM-vs-LLM,study,16,ByteVector,193
LLM-vs-LLM,study,17,CharRange,194
LLM-vs-LLM,study,17,ByteVector,195
LLM-vs-LLM,study,18,CharRange,196
LLM-vs-LLM,unexpected_duplicate,18,ByteVector,197
LLM-vs-LLM,study,6,ByteVector,198
LLM-vs-LLM,study,15,ByteVector,199
LLM-vs-LLM,study,18,ByteVector,201
LLM-vs-LLM,study,11,ByteVector,200
LLM-vs-LLM,unexpected_duplicate,19,CharRange,202
LLM-vs-LLM,study,20,CharRange,205
LLM-vs-LLM,study,19,CharRange,203
LLM-vs-LLM,study,20,ByteVector,206
LLM-vs-LLM,study,21,CharRange,208
LLM-vs-LLM,study,21,ByteVector,209
LLM-vs-LLM,study,22,CharRange,210
LLM-vs-LLM,study,22,ByteVector,211
LLM-vs-LLM,study,23,CharRange,212
LLM-vs-LLM,study,23,ByteVector,213
LLM-vs-LLM,study,24,ByteVector,219
LLM-vs-LLM,study,24,CharRange,218
LLM-vs-LLM,study,19,ByteVector,217
