ID,Class_ID,Level,Timestamp,Creator_ID,Prize,Defender_Value,Attacker_Value,Coverage_Goal,Mutant_Goal,Attackers_Needed,Defenders_Needed,Start_Time,Finish_Time,MaxAssertionsPerTest,MutantValidator,ChatEnabled,Attackers_Limit,Defenders_Limit,State,CurrentRound,FinalRound,ActiveRole,Mode,RequiresValidation,IsAIDummyGame,HasKillMap,CapturePlayersIntention,Puzzle_ID,EquivalenceThreshold,Game_Duration_Minutes,Classroom_ID,Invite_Only,May_Choose_Role
100,102,HARD,2026-04-11 19:40:03,103,1,100,100,1,1,0,0,2026-04-11 19:40:03,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
101,101,HARD,2026-04-11 20:28:22,103,1,100,100,1,1,0,0,2026-04-11 20:28:22,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
102,102,HARD,2026-04-11 21:34:53,103,1,100,100,1,1,0,0,2026-04-11 21:34:54,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
103,102,HARD,2026-04-11 21:35:49,103,1,100,100,1,1,0,0,2026-04-11 21:35:50,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
104,101,HARD,2026-04-11 21:36:44,103,1,100,100,1.1,1.1,0,0,2026-04-11 21:36:45,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,60,,0,1
105,102,HARD,2026-04-11 21:36:59,103,1,100,100,1,1,0,0,2026-04-11 21:36:59,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
106,101,HARD,2026-04-11 21:37:28,103,1,100,100,1.1,1.1,0,0,2026-04-11 21:37:29,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,60,,0,1
107,101,HARD,2026-04-11 22:05:04,103,1,100,100,1,1,0,0,2026-04-11 22:05:04,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
108,101,HARD,2026-04-11 22:06:00,103,1,100,100,1,1,0,0,2026-04-11 22:06:01,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
109,101,HARD,2026-04-11 22:07:10,103,1,100,100,1,1,0,0,2026-04-11 22:07:10,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
