"Zeitstempel","Benutzername (auf dem Zettel)","Wie schätzt du die Programmierkenntnisse deines Gegners ein?","Wie einfallsreich hat sich dein Gegner verhalten?","Wie herausfordernd war es, gegen deinen Gegner zu spielen?","Wie viel Spaß hattest du an dem Spiel?","Glaubst du, dein Gegner war ein Mensch oder eine KI?","Woran hast du das festgemacht?","Kannst du dir vorstellen, in Zukunft auch von dir aus CodeDefenders gegen LLM-Spieler zu spielen?","Warum/Warum nicht?","Hast du noch Anmerkungen/Kritik/Verbesserungsvorschläge?"
"2026/02/03 9:40:27 AM MEZ","DesertHobbit","3","2","3","3","4","Die Mutants waren sehr ähnlich","2","So spannend ist es auch wieder nicht ^^",""
"2026/02/03 9:40:33 AM MEZ","TelephoneEarnest","4","2","4","3","5","Sehr schneller tests bereits am Anfang","2","",""
"2026/02/03 9:40:37 AM MEZ","CollegeTelephone","4","4","3","3","4","Regelmäßigkeit neuer Mutationen ","5","",""
"2026/02/03 9:40:40 AM MEZ","TelephoneEarnest","4","2","4","3","5","Sehr schneller tests bereits am Anfang","2","",""
"2026/02/03 9:40:54 AM MEZ","TelephoneEarnest","4","2","4","3","5","Sehr schneller tests bereits am Anfang","2","",""
"2026/02/03 9:41:12 AM MEZ","VeniceDesert ","4","4","4","3","2","Wenn ich einen Mutanten geflagged habe, hat er nicht direkt bewiesen, dass er keiner ist oder eben nicht geschafft es zu beweisen.","2","Allgemein ist das Spiel etwas eintönig","Das Spiel versuchen spannender zu machen, aber ich bin mir selber nicht sicher wie :/"
"2026/02/03 9:41:16 AM MEZ","TelephoneHobbit","4","2","4","1","1","Nicht alle Methoden wurden mutiert","4","Als Mutierer sind die bestimmt gut.

Als Tester sind llms evtl bisschen zu schnell.",""
"2026/02/03 9:41:17 AM MEZ","TelephoneEarnest","4","2","4","3","5","Sehr schneller tests bereits am Anfang","2","",""
"2026/02/03 9:41:19 AM MEZ","DesertEarnest ","5","5","5","4","3","Tests wurden teilweise relativ schnell verfasst. aber teilweise wurden Sachen geprüft, die viele Menschen nicht prüfen würden.","","",""
"2026/02/03 9:41:20 AM MEZ","EarnestTelephone ","5","5","5","1","1","Auf nur eine Methode festgelegt ","5","Training ist alles!",""
"2026/02/03 9:41:45 AM MEZ","HobbitFriday ","2","2","1","3","1","Die ersten 15 Minuten hat er anscheinend geschlafen, und dann sehr langsam neue Tests implementiert","4","Warum nicht?","-"
"2026/02/03 9:41:55 AM MEZ","TelephoneTelephone","4","4","3","4","2","Im Gegensatz zur KI in der ersten Runde hat der Gegner länger gebraucht um initial Tests zu schreiben und hatte auch viel weniger aber dafür um einiges mehr durchdachte Tests.","2","Zumindest jetzt meiner Erfahrung nach hat sich das Spiel gegen den, meiner Vermutung nach, Menschen spaßiger angefühlt.",""
"2026/02/03 9:41:57 AM MEZ","TelephoneFriday","1","1","5","1","5","Es wurden 180 Mutanten für nur eine Methode geschrieben und teilweise 30 pro Zeile","2","moderne IDE hilft besser mit auto completion  beim programmieren ",""
"2026/02/03 9:42:09 AM MEZ","EarnestCollege","4","5","4","4","5","In den ersten 10 Minuten wurden 20 Tests geschrieben, die ersten kurz nach Beginn. Ziemlich unrealistisch für einen Menschen, der den Code erstmal lesen und verstehen muss.","4","Es ist herausfordernd, aber man kann einiges lernen & vor allem üben.","Nein :)"
