ID,Mutant_ID,Defender_ID,Mutant_Points,Expired
100,331,1153,10,0
101,478,1155,10,0
102,481,1155,10,0
103,489,1155,11,0
104,358,1156,10,0
105,468,1155,12,0
106,396,1141,5,0
107,516,1142,3,0
108,328,1155,10,0
109,335,1155,10,0
110,407,1155,10,0
111,528,1142,22,0
112,416,1153,10,0
113,568,1142,5,0
114,573,1142,5,0
115,625,1156,18,0
116,392,1146,10,0
117,483,1142,4,0
118,480,1156,10,0
119,485,1156,10,0
120,475,1156,11,0
121,506,1156,10,0
122,509,1156,10,0
123,496,1156,10,0
124,500,1156,10,0
125,574,1146,3,0
126,615,1146,3,0
127,653,1146,3,0
128,579,1146,3,0
129,610,1146,3,0
130,474,1142,3,0
131,320,1156,10,0
132,325,1156,10,0
133,329,1156,10,0
134,441,1155,10,0
135,555,1141,5,0
136,698,1155,10,0
137,462,1146,4,0
138,658,1146,4,0
139,673,1146,4,0
140,700,1146,4,0
141,696,1146,4,0
142,735,1201,10,0
143,829,1200,10,0
144,802,1199,10,0
145,904,1199,11,0
146,736,1200,10,0
147,744,1200,10,0
148,992,1200,10,0
149,783,1199,10,0
150,755,1187,2,0
151,733,1187,2,0
152,804,1187,2,0
153,717,1188,4,0
154,720,1188,4,0
155,728,1188,4,0
156,738,1188,4,0
157,749,1188,4,0
158,770,1188,4,0
159,808,1188,4,0
160,821,1188,4,0
161,828,1188,4,0
162,835,1188,4,0
163,844,1188,4,0
164,868,1188,4,0
165,877,1188,4,0
166,890,1188,4,0
167,915,1188,4,0
168,948,1188,4,0
169,954,1188,4,0
170,958,1188,4,0
171,965,1188,4,0
172,975,1188,4,0
173,981,1188,4,0
174,994,1188,4,0
175,999,1188,4,0
176,1003,1188,4,0
177,1007,1188,4,0
178,1025,1188,4,0
179,1045,1188,4,0
180,1060,1188,4,0
181,1064,1188,4,0
182,831,1187,2,0
183,724,1187,11,0
184,727,1187,11,0
185,917,1199,10,0
186,922,1199,10,0
187,1117,1236,2,0
188,1275,1252,19,0
189,1139,1252,10,0
190,1112,1238,2,0
191,1140,1248,10,0
192,1340,1252,14,0
193,1298,1249,10,0
194,1253,1252,10,0
195,1306,1249,10,0
196,1372,1252,30,0
197,1379,1252,31,0
198,1392,1252,32,0
199,1395,1252,32,0
200,1301,1239,7,0
201,1205,1248,10,0
202,1442,1249,19,0
203,1211,1248,10,0
204,1219,1248,10,0
205,1320,1236,5,0
206,1706,1293,10,0
207,1758,1289,13,0
208,1635,1293,10,0
209,1690,1293,10,0
210,1651,1289,6,0
211,1654,1289,6,0
