Conversation_ID,Strategy,Type,Game_ID,User_ID,Mutant_ID,Test_ID,Is_Active,Is_Success
1,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,130,6,,,0,1
2,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,131,6,,,0,1
3,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,132,6,,,0,1
4,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,133,6,,,0,1
5,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,134,6,,,0,1
6,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,135,5,,,0,1
7,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,135,5,100,,0,1
8,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,130,6,,,0,1
9,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,130,6,,101,0,1
10,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,136,5,,,0,1
11,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,136,5,101,,0,1
12,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,137,5,,,0,1
13,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,137,5,105,,0,1
14,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,131,6,,,0,1
15,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,131,6,,102,0,1
16,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,132,6,,,0,1
17,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,138,5,,,0,1
18,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,138,5,106,,0,1
19,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,134,6,,,0,1
20,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,134,6,,105,0,1
21,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,139,5,,,0,1
22,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,139,5,104,,0,1
23,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,133,6,,,0,1
24,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,133,6,,104,0,1
25,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,132,6,,100,0,1
