Mutant_ID,JavaFile,MD5,ClassFile,Alive,Game_ID,Class_ID,RoundCreated,RoundKilled,Equivalent,Player_ID,NumberAiKillingTests,Timestamp,Points,MutatedLines,KillMessage
100,mutants/mp/135/5/00000001/CharRange.java,380dbefd636cbab4e94a1b86b29e9d70,mutants/mp/135/5/00000001/CharRange.class,1,135,101,1,,ASSUMED_NO,244,0,2026-01-31 16:13:08,1,79,
101,mutants/mp/136/5/00000001/CharRange.java,d0ddf962ae07a7b48c2153a4af269e7e,mutants/mp/136/5/00000001/CharRange.class,1,136,101,1,,ASSUMED_NO,249,0,2026-01-31 16:13:10,1,54,
102,mutants/mp/137/5/00000001/CharRange.java,064a9a71521049bd050037664502b0ca,,0,137,101,1,,ASSUMED_NO,254,0,2026-01-31 16:13:10,0,54,
103,mutants/mp/138/5/00000001/CharRange.java,bd1141c2b2f996360cf6d41bc4df4ee1,,0,138,101,1,,ASSUMED_NO,259,0,2026-01-31 16:13:11,0,79,
104,mutants/mp/139/5/00000001/CharRange.java,672c97a201b61cf8d0f20db416521805,mutants/mp/139/5/00000001/CharRange.class,1,139,101,1,,ASSUMED_NO,264,0,2026-01-31 16:13:13,1,54,
105,mutants/mp/137/5/00000002/CharRange.java,eccb7e92bee8fa701af14b690a26766f,mutants/mp/137/5/00000002/CharRange.class,1,137,101,1,,ASSUMED_NO,254,0,2026-01-31 16:13:25,1,54,
106,mutants/mp/138/5/00000002/CharRange.java,92e523b6904c8dc15b1b609d433d4c09,mutants/mp/138/5/00000002/CharRange.class,1,138,101,1,,ASSUMED_NO,259,0,2026-01-31 16:13:26,1,79,
107,mutants/mp/135/5/00000002/CharRange.java,4b6275bbfe46a62d960ac79ec4cc3854,mutants/mp/135/5/00000002/CharRange.class,1,135,101,1,,ASSUMED_NO,244,0,2026-01-31 16:13:38,1,79,
108,mutants/mp/136/5/00000002/CharRange.java,a64ad70a6da71d510494bf4e948703a1,mutants/mp/136/5/00000002/CharRange.class,1,136,101,1,,ASSUMED_NO,249,0,2026-01-31 16:13:39,1,79,
109,mutants/mp/139/5/00000002/CharRange.java,10f49cb33531fd82fead596738b666cc,mutants/mp/139/5/00000002/CharRange.class,1,139,101,1,,ASSUMED_NO,264,0,2026-01-31 16:13:43,1,66,
110,mutants/mp/140/5/00000001/ByteVector.java,9ed36580a3d41cd5d1d4955b2e6d72c4,mutants/mp/140/5/00000001/ByteVector.class,0,140,100,1,1,ASSUMED_NO,269,0,2026-01-31 16:18:30,1,"1,244","[junit] Testcase: test took 0.008 sec
[junit] expected:<3> but was:<6>
[junit] junit.framework.AssertionFailedError: expected:<3> but was:<6>
[junit] 	at TestByteVector.test(TestByteVector.java:16)
[junit] 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[junit] 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
[junit] 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[junit] 	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
[junit] 	at java.base/java.lang.Thread.run(Thread.java:840)
"
111,mutants/mp/140/5/00000002/ByteVector.java,06aa9b9a564b8bb0567f54051a969c30,mutants/mp/140/5/00000002/ByteVector.class,1,140,100,1,,ASSUMED_NO,269,0,2026-01-31 16:18:55,3,"1,86,88,255",
112,mutants/mp/141/5/00000001/ByteVector.java,186ec79c2611c54cdbf464a3da1fe5fb,mutants/mp/141/5/00000001/ByteVector.class,1,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:20:35,1,46,
113,mutants/mp/141/5/00000002/ByteVector.java,f46c395fc0d09d1bbde1030e326a5888,mutants/mp/141/5/00000002/ByteVector.class,1,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:21:50,7,"44,45,46,47,48,49",
114,mutants/mp/141/5/00000003/ByteVector.java,fea7ba54e1cebc4ee8ec52bde9a24135,mutants/mp/141/5/00000003/ByteVector.class,0,141,100,1,1,ASSUMED_NO,273,0,2026-01-31 16:22:51,3,"63,64,65,67,68","Buildfile: /srv/codedefenders-class-2026/build.xml

test-mutant:
[junit] Running TestByteVector
[junit] Testsuite: TestByteVector
[junit] Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.016 sec
[junit] Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.016 sec
[junit]
[junit] Testcase: test took 0.006 sec
[junit] 	Caused an ERROR
[junit] Index 1 out of bounds for length 1
[junit] java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 1
[junit] 	at ByteVector.put11(ByteVector.java:72)
[junit] 	at TestByteVector.test(TestByteVector.java:11)
[junit] 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[junit] 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
[junit] 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[junit] 	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
[junit] 	at java.base/java.lang.Thread.run(Thread.java:840)
[junit]
[junit] Test TestByteVector FAILED

BUILD SUCCESSFUL
Total time: 0 seconds
  "
115,mutants/mp/141/5/00000004/ByteVector.java,ed249d0bff21c98546fff557941f21c1,,0,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:27:06,0,"82,85,86,87",
116,mutants/mp/141/5/00000005/ByteVector.java,cff817eddc9e8b64dfa68c2dd5241f9b,mutants/mp/141/5/00000005/ByteVector.class,1,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:27:35,6,"82,83,84,86,87,88",
117,mutants/mp/141/5/00000006/ByteVector.java,e8679b03bb1eab2d087a107a5271d5bb,mutants/mp/141/5/00000006/ByteVector.class,1,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:28:06,6,"122,124",
118,mutants/mp/141/5/00000007/ByteVector.java,9f78acc6a96f7b1bbc5951da130ee93a,,0,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:28:36,0,"143,144,145",
119,mutants/mp/141/5/00000008/ByteVector.java,bff6fb1dd79e263a08b3a822288eccfc,,0,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:29:06,0,"143,144,145",
120,mutants/mp/141/5/00000009/ByteVector.java,71e7f9be197bb1bb6aad8825f67867e4,,0,141,100,1,,ASSUMED_NO,273,0,2026-01-31 16:29:21,0,"143,144,145",
